 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 75 
 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 75 
 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 75 
 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 75 
 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 75 
 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 75 
 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 76 
 [NEW] Error: [256] Array, fir in F:\xampp\htdocs\sslmp\new_ac.php on 75 
 [NEW] Error: [8] Array, Undefined property: signin_from::$userid in F:\xampp\htdocs\sslmp\new_ac.php on 60 
 [NEW] Error: [8] Array, Undefined property: signin_from::$address in F:\xampp\htdocs\sslmp\new_ac.php on 60 
 [NEW] Error: [8] Array, Undefined property: signin_from::$password in F:\xampp\htdocs\sslmp\new_ac.php on 60 
 [NEW] Error: [8] Array, Undefined variable: id in F:\xampp\htdocs\sslmp\new_ac_complete.php on 20 
 [NEW] Error: [8] Array, Undefined variable: id in F:\xampp\htdocs\sslmp\new_ac_complete.php on 20 
 [NEW] Error: [8] Array, Undefined variable: id in F:\xampp\htdocs\sslmp\new_ac_complete.php on 20 
 [NEW] Error: [8] Array, Undefined variable: _SESSION in F:\xampp\htdocs\sslmp\new_ac_complete.php on 122 
 [NEW] Error: [8] Array, Undefined variable: _SESSION in F:\xampp\htdocs\sslmp\new_ac_complete.php on 122 
 [NEW] Error: [8] Array, Undefined variable: _SESSION in F:\xampp\htdocs\sslmp\new_ac_complete.php on 122 
 [NEW] Error: [256] Array, helo in F:\xampp\htdocs\sslmp\new_ac_complete.php on 44 
 [NEW] Error: [256] Array, hello in F:\xampp\htdocs\sslmp\new_ac_complete.php on 15 
 [NEW] Error: [256] Array, hello in F:\xampp\htdocs\sslmp\new_ac_complete.php on 15 
 [NEW] Error: [256] Array, dd in F:\xampp\htdocs\sslmp\new_ac_complete.php on 91 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Undefined offset: 1 in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Undefined offset: 1 in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [8] Array, Undefined offset: 1 in F:\xampp\htdocs\sslmp\home.php on 97 
 [NEW] Error: [256] Array, everthing correct but last query not executed in F:\xampp\htdocs\sslmp\logout.php on 58 
 [NEW] Error: [256] Array, everthing correct but last query not executed in F:\xampp\htdocs\sslmp\logout.php on 58 
 [NEW] Error: [2] Array, mysqli::query() expects at least 1 parameter, 0 given in F:\xampp\htdocs\sslmp\enter_bill.php on 92 
 [NEW] Error: [2] Array, mysqli::query() expects at least 1 parameter, 0 given in F:\xampp\htdocs\sslmp\enter_bill.php on 92 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\enter_bill.php on 104 
 [NEW] Error: [8] Array, Array to string conversion in F:\xampp\htdocs\sslmp\enter_bill.php on 104 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 116 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
 [NEW] Error: [8] Array, Use of undefined constant y - assumed 'y' in F:\xampp\htdocs\sslmp\enter_bill.php on 117 
